"","SampleID","Part","AnalysedRegionArea","AnalysedRegionWidth","AnalysedRegionHeight","Length","ProjArea","SurfArea","AvgDiam","LenPerVol","RootVolume.cm3.","Tips","Forks","Crossings","NofNodules","NumberOfClasses","L0_0.5","L0.5_1.0","L1.0_1.5","L1.5_2.0","L2.0_2.5","L2.5_3.0","L3.0_3.5","L3.5_4.0","L4.0_4.5","L_4.5","SA0_0.5","SA0.5_1.0","SA1.0_1.5","SA1.5_2.0","SA2.0_2.5","SA2.5_3.0","SA3.0_3.5","SA3.5_4.0","SA4.0_4.5","SA4.5","PA0_0.5","PA0.5_1.0","PA1.0_1.5","PA1.5_2.0","PA2.0_2.5","PA2.5_3.0","PA3.0_3.5","PA3.5_4.0","PA4.0_4.5","PA4.5","V0_0.5","V0.5_1.0","V1.0_1.5","V1.5_2.0","V2.0_2.5","V2.5_3.0","V3.0_3.5","V3.5_4.0","V4.0_4.5","V.4.5","T0_0.5","T0.5_1.0","T1.0_1.5","T1.5_2.0","T2.0_2.5","T2.5_3.0","T3.0_3.5","T3.5_4.0","T4.0_4.5","T4.5","GT","TMT","rep"
"32",72,1,1224.0589,40.6717,30.0961,7140.3987,443.5084,1393.3226,0.6211,7140.3987,21.636,20177,61016,8104,0,10,4737.8551,1385.2406,517.1949,237.6535,109.6645,55.8661,36.8122,21.1591,12.9137,22.9149,316.3664,308.5407,199.1583,128.0748,77.1033,48.098,37.1903,24.7054,17.1713,43.3411,100.7026,98.2116,63.3941,40.7675,24.5427,15.3101,11.838,7.864,5.4658,13.7959,2.1402,5.7024,6.1796,5.5332,4.3327,3.3033,2.996,2.299,1.8191,7.2588,19405,526,136,74,24,7,4,1,0,0,"PI136687","Mi",3
"33",76,1,1224.0589,40.6717,30.0961,8342.9705,590.4442,1854.9352,0.7077,8342.9705,32.819,33662,86780,10194,0,10,5296.6495,1678.6846,612.9966,327.9171,160.3473,85.8877,65.5757,37.1241,21.0377,51.9334,341.0992,370.7628,232.775,176.8986,112.8865,73.7433,66.2634,43.5111,28.0162,110.7746,108.5752,118.0175,74.0946,56.3086,35.9329,23.4732,21.0923,13.85,8.9178,35.2606,2.3195,6.7959,7.1288,7.6489,6.3509,5.0502,5.3382,4.064,2.9726,20.8596,32064,1155,273,111,35,16,8,0,0,0,"PI313307","Mo",1
"34",77,1,1224.0589,40.6717,30.0961,10980.3768,597.3668,1876.6832,0.544,10980.3768,25.524,40601,117839,18093,0,10,7745.483,2023.0667,609.1481,293.6718,139.8951,68.7373,31.6151,18.1964,14.4404,27.5629,478.7555,437.3313,232.2037,158.3021,98.1551,58.9186,31.9867,21.2329,19.128,53.7257,152.3926,139.2069,73.9127,50.3891,31.2437,18.7544,10.1817,6.7586,6.0886,17.1014,3.1768,7.8487,7.1306,6.84,5.5038,4.029,2.5807,1.9743,2.0185,9.2322,39506,777,189,81,35,8,2,0,0,3,"PI313307","Mo",2
"35",78,1,1224.0589,40.6717,30.0961,10511.852,690.7284,2169.9871,0.6571,10511.852,35.647,27171,130702,18126,0,10,6703.1654,2152.7508,796.454,396.1938,199.0907,93.2474,52.1938,31.1281,23.0641,58.8696,434.0199,474.2395,304.0308,214.2509,140.1722,80.0502,53.0272,36.3159,30.6525,113.4886,138.1528,150.9551,96.776,68.1982,44.6182,25.4808,16.8791,11.5597,9.757,36.1245,2.9642,8.6722,9.3537,9.2899,7.8869,5.4815,4.295,3.3755,3.2459,18.7063,26629,385,90,46,13,5,2,0,0,1,"PI313307","Mo",3
"36",79,1,1224.0589,40.6717,30.0961,5063.5001,220.7194,693.4105,0.4359,5063.5001,7.556,19509,36483,6692,0,10,3821.2933,850.7192,229.7729,89.3719,51.3528,11.6174,4.8571,0.7222,0.5923,0.9214,223.393,186.4623,86.8342,48.3599,35.6184,9.9145,4.874,0.835,0.8132,1.463,71.1082,59.3528,27.6402,15.3934,11.3377,3.1559,1.5514,0.2658,0.2588,0.4657,1.4007,3.3911,2.645,2.0976,1.9722,0.6747,0.3897,0.0769,0.0889,0.186,18937,371,113,49,27,7,4,1,0,0,"PI535413","Mo",1
"37",80,1,1224.0589,40.6717,30.0961,1541.7026,104.8849,329.5057,0.6803,1541.7026,5.604,7083,11015,1515,0,10,1115.8833,207.5751,50.6342,48.1039,36.4694,48.0909,7.6725,3.4123,1.7668,21.7752,66.25,48.0639,18.8599,26.6724,25.3437,40.7429,7.7937,3.9773,2.3898,51.0831,21.088,15.2992,6.0033,8.4901,8.0671,12.9689,2.4808,1.266,0.7607,16.2603,0.4006,0.9193,0.5674,1.1848,1.4082,2.7537,0.6318,0.3694,0.2575,9.8302,6872,118,46,26,13,4,2,0,0,2,"PI535413","Mo",2
"38",81,1,1224.0589,40.6717,30.0961,8474.2964,412.2769,1295.2061,0.4865,8474.2964,15.753,20867,87659,15848,0,10,6210.2401,1464.6228,449.7722,188.1962,77.9247,34.5453,15.4793,11.5523,5.488,12.5425,385.4727,317.3759,170.3646,100.9956,54.543,29.6427,15.6165,13.438,7.3535,22.245,122.6998,101.0239,54.2287,32.1479,17.3616,9.4356,4.9709,4.2775,2.3407,7.0808,2.5261,5.7076,5.1984,4.3455,3.0503,2.0291,1.2558,1.2455,0.7848,3.2677,20508,230,79,40,8,1,1,0,0,0,"PI535413","Mo",3
"39",82,1,1224.0589,40.6717,30.0961,7572.8466,368.8027,1158.628,0.487,7572.8466,14.106,24171,63017,10332,0,10,5469.1404,1437.8966,388.4075,154.7482,63.5954,24.4839,11.034,4.9452,2.5233,12.2324,344.2709,318.2823,147.7486,82.681,44.6594,20.9339,11.1757,5.7968,3.3563,22.6423,109.5848,101.3124,47.0298,26.3182,14.2155,6.6635,3.5573,1.8452,1.0683,7.2073,2.2761,5.8415,4.5317,3.5414,2.5067,1.4274,0.9026,0.5417,0.3557,3.5404,23512,472,114,44,21,6,1,0,1,0,"PI535447","Mo",1
"40",83,1,1224.0589,40.6717,30.0961,8257.2186,398.4813,1251.8658,0.4826,8257.2186,15.103,31029,73637,11278,0,10,6036.8441,1519.4777,422.2419,160.8546,65.651,26.1079,12.2058,4.3273,2.6227,2.5488,390.4804,330.2302,160.8187,86.2928,45.9244,22.0495,12.2627,5.033,3.5062,4.5663,124.2938,105.1155,51.1902,27.4679,14.6182,7.0186,3.9033,1.6021,1.116,1.4535,2.6368,5.9531,4.9341,3.7118,2.5671,1.4848,0.9822,0.4665,0.3737,0.6784,30082,671,153,74,33,9,5,2,0,0,"PI535447","Mo",2
"41",84,1,1224.0589,40.6717,30.0961,7054.6241,386.3936,1213.8913,0.5477,7054.6241,16.622,17250,69564,10231,0,10,4688.6298,1596.3589,448.0257,176.085,72.99,30.862,14.5809,9.3397,5.4142,9.2084,312.6319,351.1591,170.8,95.1044,51.1223,26.4668,14.6433,10.8422,7.1079,16.8239,99.5138,111.7774,54.3673,30.2727,16.2727,8.4246,4.6611,3.4512,2.2625,5.3552,2.1447,6.3969,5.2465,4.1172,2.8618,1.8105,1.1729,1.0028,0.7433,2.5328,16720,374,109,34,10,1,1,0,1,0,"PI535447","Mo",3
"42",85,1,1224.0589,40.6717,30.0961,8700.4399,594.6016,1867.9959,0.6834,8700.4399,31.915,26283,98651,12647,0,10,5631.2027,1735.2216,587.893,315.2416,161.8201,88.1998,55.0048,36.0756,20.7736,64.044,352.9658,381.3826,224.2375,170.8448,113.8728,75.6761,55.5159,42.3375,27.597,131.5405,112.3525,121.3979,71.377,54.3816,36.2469,24.0885,17.6712,13.4764,8.7844,41.8707,2.3696,6.9507,6.8962,7.4223,6.4025,5.1786,4.4677,3.9596,2.9215,23.5865,25429,602,152,68,20,11,1,0,0,0,"PI313250","Mo",1
"43",91,3,1760.3949,72.9041,48.1131,11482.3527,882.8438,2773.5357,1.5357,11482.3527,54.94,53074,140772,15579,0,20,7324.6315,2279.5839,806.043,434.1433,223.1924,114.7102,84.5823,43.4959,32.8154,130.8631,456.2647,504.5594,306.8899,234.1042,157.2938,98.3963,85.4367,50.6694,43.9369,330.3421,145.2336,160.6062,97.6861,74.5176,50.0682,31.3205,27.1953,16.1286,13.9855,105.1511,3.0586,9.2651,9.4188,10.1192,8.8585,6.733,6.8807,4.704,4.6863,87.6305,50498,1932,408,154,47,22,8,1,3,1,"PI281999","Mo",1
"44",92,1,1224.0589,40.6717,30.0961,2506.9525,124.6401,391.5684,0.4972,2506.9525,4.867,10040,15908,2658,0,10,1859.28,382.1411,124.5954,82.5482,33.4839,8.9712,6.8125,2.5008,2.8005,3.1187,112.1836,84.4455,48.8153,44.7693,23.1609,7.6443,6.8855,2.9504,3.7032,5.1735,35.7091,26.8799,15.5384,14.2505,7.3723,2.4333,2.1917,0.9392,1.1788,1.6468,0.7043,1.5452,1.54,1.9461,1.2803,0.5196,0.5547,0.2773,0.39,0.7014,9512,350,92,47,31,2,1,1,3,1,"PI281999","Mo",2
"45",93,6,2709.1697,105.9499,84.5532,22464.1068,1174.4157,3689.5355,1.5729,22464.1068,48.569,76936,266346,43805,0,30,16341.7918,3756.8562,1174.4387,585.5658,280.1488,121.7213,69.0146,41.2693,25.684,54.1128,1003.6504,812.9325,446.7201,316.6638,196.0344,104.5339,69.5686,48.2609,34.1864,104.9758,319.4719,258.7645,142.1954,100.7973,62.3997,33.2742,22.1443,15.3619,10.8818,33.4149,6.5691,14.6006,13.6938,13.7271,10.961,7.1611,5.5922,4.4985,3.6266,17.6294,75434,1104,233,114,37,10,4,0,0,0,"PI281999","Mo",3
"46",94,1,1224.0589,40.6717,30.0961,6935.6147,469.3978,1474.6566,0.6768,6935.6147,24.951,24422,59989,7101,0,10,4463.9612,1402.7995,531.3731,230.745,107.0965,61.8248,43.7422,31.8584,16.8341,42.6555,298.0702,311.9441,202.5364,124.3053,75.0201,53.3072,44.561,37.2892,22.1825,85.8696,94.8787,99.2949,64.4693,39.5676,23.8797,16.9682,14.1842,11.8695,7.0609,27.3332,2.0501,5.7646,6.217,5.3682,4.1979,3.6664,3.6201,3.478,2.3288,15.4586,23559,620,149,59,21,9,2,1,1,1,"PI136687","Mo",1
"47",95,1,1224.0589,40.6717,30.0961,5537.5158,294.3971,924.8756,0.5316,5537.5158,12.293,21130,37518,5728,0,10,4054.2044,885.4824,283.2946,139.5732,75.4362,41.688,21.3821,9.7193,8.5607,16.0053,244.6423,193.8959,109.1391,75.7052,53.0622,35.5592,21.5733,11.3217,11.2832,31.1822,77.8721,61.719,34.7401,24.0977,16.8902,11.3188,6.867,3.6038,3.5915,9.9256,1.5532,3.5212,3.3862,3.2903,2.9826,2.4189,1.7354,1.0509,1.1847,5.3515,20524,356,108,72,47,12,5,3,2,1,"PI136687","Mo",2
"48",96,3,1791.2776,64.1088,55.8782,8924.2199,556.5455,1748.4393,1.2462,8924.2199,27.262,31841,76904,9845,0,20,5933.4203,1879.583,536.0623,252.3148,132.7427,68.3069,40.8339,24.2517,13.4328,39.3092,414.8354,408.0387,202.9631,136.176,93.4524,58.4834,41.3647,28.3097,17.8608,80.9994,132.0462,129.8827,64.6051,43.3462,29.7468,18.6159,13.1668,9.0112,5.6852,25.7829,2.9239,7.3554,6.1948,5.892,5.2576,3.9943,3.341,2.6332,1.8919,14.7854,30322,1072,250,102,54,20,8,8,3,2,"PI136687","Mo",3
"49",100,1,1224.0589,40.6717,30.0961,8454.4773,635.7627,1997.3074,0.752,8454.4773,37.549,25508,97804,10622,0,10,4957.9861,1879.8161,732.8065,390.6075,190.2607,108.4953,67.1697,36.0305,23.9028,62.9145,328.6247,417.2809,278.688,211.1215,133.8291,93.3643,68.119,41.8711,31.7115,119.745,104.6045,132.8246,88.7092,67.2021,42.5991,29.7188,21.6829,13.328,10.0941,38.116,2.2879,7.6882,8.5442,9.1463,7.5219,6.4091,5.509,3.8779,3.3517,19.2429,24627,660,136,54,20,8,3,0,0,0,"PI313307","S",1
"50",101,3,1769.7817,62.6854,56.4872,17755.947,905.6096,2845.0566,1.0148,17755.947,36.426,119426,212016,30202,0,20,12954.796,3039.0639,899.9585,431.4692,195.6205,100.0007,52.5209,25.4296,20.5358,19.6262,794.0524,662.8608,341.9847,232.678,137.8516,85.8115,53.2427,29.6301,27.2197,34.797,252.7547,210.9951,108.8571,74.0637,43.8795,27.3147,16.9476,9.4315,8.6643,11.0762,5.2146,12.0021,10.4729,10.0578,7.7629,5.8738,4.3043,2.751,2.8746,5.0705,117405,1608,251,106,35,12,2,3,1,2,"PI313307","S",2
"51",102,3,1830.3138,64.7697,56.538,14080.4601,659.0633,2070.5085,0.9354,14080.4601,24.336,43525,123502,21593,0,20,10559.2606,2442.0286,584.4907,276.0811,113.1172,45.1627,21.2343,15.7432,6.3879,11.001,687.4981,524.3555,221.3635,148.503,79.1298,38.6757,21.669,18.2637,8.4455,22.9486,218.8374,166.9076,70.4622,47.27,25.1878,12.3109,6.8975,5.8135,2.6883,7.3048,4.5731,9.3407,6.7572,6.4021,4.423,2.6421,1.7637,1.6883,0.8897,4.0927,42630,657,126,74,27,3,4,1,1,2,"PI313307","S",3
"52",103,1,1224.0589,40.6717,30.0961,3291.2948,165.2909,519.2766,0.5022,3291.2948,6.52,12099,24481,4463,0,10,2560.8709,413.2311,117.2351,94.3464,52.553,10.6321,6.3577,3.2695,0.5164,30.5647,141.3929,92.8765,43.5435,51.9668,36.1338,9.1479,6.4306,3.7884,0.6412,73.2918,45.0068,29.5635,13.8603,16.5416,11.5017,2.9119,2.0469,1.2059,0.2041,23.3295,0.8295,1.7306,1.3063,2.2937,1.9838,0.6276,0.5184,0.3496,0.063,14.3442,11856,175,23,22,14,4,3,0,0,2,"PI535413","S",1
"53",104,1,1224.0589,40.6717,30.0961,2147.1354,82.4303,258.9624,0.3839,2147.1354,2.485,12081,13014,2466,0,10,1697.7615,291.7213,111.7607,22.5715,14.051,5.2363,1.6998,0.5235,0.3171,0.3282,86.2164,63.5341,42.0182,12.0072,10.1609,4.403,1.6959,0.626,0.4045,0.5061,27.4435,20.2235,13.3748,3.822,3.2343,1.4015,0.5398,0.1993,0.1288,0.1611,0.4834,1.1379,1.2767,0.5117,0.5873,0.2955,0.1349,0.0596,0.0411,0.0621,11793,156,62,43,24,1,2,0,0,0,"PI535413","S",2
"54",105,1,1084.51,38.994,27.8122,7365.9119,398.6007,1252.241,0.5411,7365.9119,16.941,14819,87505,14319,0,10,5046.4903,1494.9281,448.5789,195.27,87.2489,40.3503,19.94,10.4397,7.3149,11.589,332.6074,324.6601,170.5762,104.7475,61.2515,34.6709,20.1812,12.2763,9.6572,20.1555,105.8722,103.3425,54.2961,33.3422,19.497,11.0361,6.4239,3.9077,3.074,6.4157,2.2952,5.8485,5.2266,4.5036,3.4367,2.3765,1.6289,1.1502,1.0156,2.9074,14563,188,47,10,8,3,0,0,0,0,"PI535413","S",3
"55",106,1,1224.0589,40.6717,30.0961,4741.2005,235.7337,740.5791,0.4972,4741.2005,9.205,27695,37910,5636,0,10,3400.8901,935.3365,248.2829,78.4386,32.6863,16.8202,11.0478,6.7547,3.0419,5.3318,211.7221,200.5197,94.4082,42.0704,22.8936,14.2965,11.2491,7.8649,3.9914,14.4009,67.3932,63.8274,30.0511,13.3914,7.2873,4.5507,3.5807,2.5035,1.2705,4.5839,1.3781,3.5577,2.8891,1.8089,1.2821,0.9687,0.9131,0.7297,0.4172,3.5126,26960,572,112,36,3,9,2,1,0,0,"PI535447","S",1
"56",107,1,1224.0589,40.6717,30.0961,3359.2493,127.7947,401.479,0.3804,3359.2493,3.818,15316,20601,4053,0,10,2693.2017,488.1998,105.3485,50.9841,14.1216,2.1683,1.5965,0.5534,0.8632,0.82,154.8996,105.0883,40.7514,26.5029,9.8973,1.8372,1.6337,0.6566,1.0964,1.3108,49.3061,33.4507,12.9716,8.4361,3.1504,0.5848,0.52,0.209,0.349,0.4172,0.9563,1.8773,1.2758,1.1035,0.5543,0.1242,0.1334,0.062,0.1108,0.1694,14941,249,83,32,10,1,0,0,0,0,"PI535447","S",2
"57",108,1,1224.0589,40.6717,30.0961,10996.0235,567.9732,1784.3404,0.5165,10996.0235,23.041,48129,118421,17247,0,10,7743.9807,2103.6954,656.8435,264.755,116.5102,48.3348,24.235,11.0038,6.4952,11.6246,478.6971,462.8287,248.6678,142.1163,81.4045,41.3353,24.4163,12.9658,8.7253,22.0611,152.374,147.323,79.1534,45.237,25.9119,13.1574,7.7719,4.1271,2.7773,7.0223,3.1703,8.4476,7.587,6.1148,4.5453,2.8205,1.9616,1.2176,0.9337,3.4884,46849,962,215,82,14,4,1,1,1,0,"PI535447","S",3
"58",109,1,1224.0589,40.6717,30.0961,4741.2005,235.7337,740.5791,0.4972,4741.2005,9.205,27695,37910,5636,0,10,3400.8901,935.3365,248.2829,78.4386,32.6863,16.8202,11.0478,6.7547,3.0419,5.3318,211.7221,200.5197,94.4082,42.0704,22.8936,14.2965,11.2491,7.8649,3.9914,14.4009,67.3932,63.8274,30.0511,13.3914,7.2873,4.5507,3.5807,2.5035,1.2705,4.5839,1.3781,3.5577,2.8891,1.8089,1.2821,0.9687,0.9131,0.7297,0.4172,3.5126,26960,572,112,36,3,9,2,1,0,0,"PI313250","S",1
"59",115,1,1224.0589,40.6717,30.0961,8475.4517,604.3559,1898.64,0.7131,8475.4517,33.846,32544,109405,13329,0,10,5428.6622,1638.996,615.1892,324.5864,156.5104,87.9884,67.2394,37.0043,28.6515,84.3753,337.5954,360.246,235.833,174.7491,110.2451,75.3722,68.2033,43.2972,38.2626,162.8959,107.46,114.6699,75.068,55.6244,35.0921,23.9917,21.7098,13.7819,12.1794,51.8514,2.2745,6.575,7.2911,7.5412,6.2067,5.1505,5.518,4.0371,4.0717,26.588,31530,744,169,63,25,6,3,1,1,1,"PI281999","S",1
"60",116,1,1224.0589,40.6717,30.0961,7065.8118,296.8789,932.6725,0.4202,7065.8118,9.797,32666,57253,10844,0,10,5614.9365,955.2451,267.9889,122.709,48.9145,21.0194,9.3846,4.7116,5.129,11.1728,309.1573,206.6098,102.944,65.626,34.5194,18.0266,9.4419,5.4282,6.7849,23.8225,98.4078,65.7659,32.7681,20.8894,10.9879,5.738,3.0054,1.7278,2.1597,7.5829,1.8764,3.7042,3.1884,2.8128,1.9464,1.2329,0.7574,0.4981,0.7155,4.4062,31891,480,163,68,37,17,6,1,1,2,"PI281999","S",2
"61",117,3,1455.4599,64.8715,56.5379,11539.3282,737.0109,2315.3878,1.2693,11539.3282,37.067,43317,151432,20707,0,20,7837.0118,2038.1085,691.7323,404.1395,211.2183,125.7746,72.5329,49.0774,34.7571,67.1618,478.6089,444.5628,264.3178,218.7731,148.5382,107.9997,73.5075,57.5603,46.1959,127.8899,152.3459,141.5087,84.135,69.6376,47.2812,34.3774,23.3982,18.322,14.7046,40.7087,3.1449,8.0478,8.1418,9.4912,8.3493,7.3981,5.9409,5.3799,4.8923,20.6773,42490,607,106,72,27,12,3,0,0,0,"PI281999","S",3
"62",118,1,1224.0589,40.6717,30.0961,7445.8948,479.9546,1507.8217,0.6446,7445.8948,24.298,23125,65617,8191,0,10,4661.9175,1745.0705,530.2172,238.6877,111.4101,55.3663,29.4011,20.166,10.6772,39.157,310.2023,388.1198,201.6751,128.2292,78.2267,47.4885,29.9436,23.6481,14.3107,77.382,98.7405,123.5424,64.1952,40.8166,24.9003,15.1161,9.5314,7.5274,4.5552,24.6315,2.1534,7.1584,6.1844,5.5226,4.3893,3.2501,2.4319,2.2103,1.5284,13.1462,22123,724,168,68,25,12,3,1,1,0,"PI136687","S",1
"63",119,1,1224.0589,40.6717,30.0961,7127.4924,353.6567,1111.0452,0.4962,7127.4924,13.782,17875,54640,9368,0,10,5231.0558,1205.1366,412.2352,149.3317,63.0002,27.4654,17.1587,9.2844,3.9788,6.2938,339.6375,262.597,158.382,79.8174,44.0491,23.5407,17.2634,10.762,5.218,11.6405,108.11,83.5872,50.4146,25.4067,14.0213,7.4932,5.4951,3.4256,1.661,3.7053,2.2408,4.7488,4.9039,3.4193,2.4609,1.6092,1.3849,0.9942,0.5449,1.8733,17418,289,95,39,22,7,3,1,0,1,"PI136687","S",2
"64",120,1,1104.3003,38.994,28.3197,8418.4898,497.3672,1562.5252,0.5908,8418.4898,23.079,16528,80150,11642,0,10,5534.8411,1882.2994,525.8113,234.4061,108.7065,53.8679,30.5393,16.8967,9.7144,17.9846,390.6099,413.1379,198.9561,125.7424,76.5244,46.1899,30.8914,19.8264,12.8626,39.542,124.335,131.5059,63.3297,40.025,24.3585,14.7027,9.833,6.311,4.0943,12.5866,2.7776,7.5265,6.0678,5.4072,4.3041,3.1595,2.4922,1.8543,1.357,7.9625,16078,318,86,29,11,4,1,1,0,0,"PI136687","S",3
