Location ID,Block,Row,compass,Num_Lseed,expected,Num_BW,Num_W,"dominant 
Weed Types",quad_area,leg_emerg,BW_density,Leg_density,W_density,Leg_stand,BW_stand,W_stand,BW heigh 1,BW height 2,BW height 3,BW height 4,Leg heigh 1,Leg height 2,Leg heigh 3,Leg height 4,pH,OM_perc,"NitrateN_pp,",AmmoniumN_ppm,P_lbA,K_psat,K_lbA,Ca_psat,Ca_lbA,Mg_psat,Mg_ppm,S_ppm,B_ppm,Cu_ppm,Fe_ppm,Mn_ppm,Zn_ppm,CEC,Location ID,Field,V1,W1,BD_initial,V2,W2,BD_final,"BW
Biomass w/ Roots","BW
Biomass w/o Roots","Legume 
Biomass","Weed 
Biomass"
1,F,F1,East,NA,NA,29,24,grass,0.25,NA,116,NA,96,NA,54.71698113,45.28301887,NA,NA,NA,NA,NA,NA,NA,NA,7.9,4.5,10,1,111,9.5,919,73.9,8176,16.7,1115,23,1.1,0.24,6.9,30.1,1.8,12.4,1,F,64.08849013,62.49,0.975058078,62.83185307,58.93,0.93790008,98,49,NA,280.97
2,F,F1,West,NA,NA,14,19,Pigweed,0.25,NA,56,NA,76,NA,42.42424242,57.57575758,NA,NA,NA,NA,NA,NA,NA,NA,7.7,4.7,11,1,124,8.1,764,79.4,8159,12.5,774,21,1.1,0.2,5.8,23.5,1.8,12.1,2,F,42.09734156,48.1,1.142589965,56.54866776,58.81,1.039989134,287,132,NA,112.92
3,F,F2,East,6,6,10,25,grass,0.25,1,40,24,100,14.63414634,24.3902439,60.97560976,100,92.5,81,84.5,56,21,25,27,7.9,4.3,11,1,112,9,861,74.1,8372,16.9,1154,22,1.1,0.2,5.4,30.1,1.5,12.2,3,F,70.05751618,59.82,0.853869838,75.39822369,70.67,0.937289986,130,88,,16.11
4,F,F2,West,3,6,16,7,Pigweed,0.25,0.5,64,12,28,11.53846154,61.53846154,26.92307692,82.5,96,99.5,86,37,22,26,NA,7.7,4.4,11,1,186,9.6,887,77.6,8077,12.8,810,21,1.1,0.19,5.2,22.6,1.8,11.7,4,F,43.35397862,42.65,0.983762076,47.43804907,45.92,0.967999336,209,98,11.64,26.83
5,F,F3,East,4,9,12,5,grass,0.25,0.444444444,48,16,20,19.04761905,57.14285714,23.80952381,121,97,95.5,98,6.5,7.5,13,9,7.9,3.6,11,1,80,8.1,719,76.1,8151,15.9,1031,18,1,0.19,3.8,32.2,1.5,11.4,5,F,75.39822369,78.03,1.034905017,63.4601716,56.48,0.890007048,495,192,0.12,48.64
6,F,F3,West,5,9,8,17,grass,0.25,0.555555556,32,20,68,16.66666667,26.66666667,56.66666667,102,104.5,88,81.5,8,6.5,7,11,7.8,3.7,13,1,119,10.7,948,76.6,7708,12.7,774,18,1,0.18,4.7,21.9,1.6,11.2,6,F,63.14601234,59.96,0.949545312,38.9557489,37.99,0.975209079,333,131,,61.87
7,F,F4,East,NA,NA,9,26,grass,0.25,NA,36,NA,104,NA,25.71428571,74.28571429,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3.8,8,1,101,11,1000,73.7,8267,15.3,1038,24,1.1,0.19,3.4,31.1,1.5,11.6,7,F,75.39822369,67.46,0.894716038,56.54866776,49.76,0.879949997,384,154,NA,64.85
8,F,F4,West,NA,NA,13,11,dandelion,0.25,NA,52,NA,44,NA,54.16666667,45.83333333,NA,NA,NA,NA,NA,NA,NA,NA,7.8,3.3,10,1,81,8.4,708,79.2,7651,12.4,726,15,0.9,0.18,3.3,19.4,1.3,10.8,8,F,72.5707903,64.71,0.891681071,30.78760801,30.59,0.993581573,98,48,NA,95.85
9,F,F5,East,4,6,8,15,grass,0.25,0.666666667,32,16,60,14.81481481,29.62962963,55.55555556,91,78.5,91.5,70,18.5,19.5,28,30.5,7.9,3.2,9,1,61,8.9,763,74.9,8177,16.2,1070,18,0.9,0.23,5.7,33.5,1.3,10.9,9,F,75.39822369,87.81,1.164616296,73.19910883,73.27,1.00096847,174,57,22.84,212.94
10,F,F5,West,5,6,10,10,Pigweed/LQ,0.25,0.833333333,40,20,40,20,40,40,98.5,102,110,69,20,49.5,17,16,7.8,4.6,13,1,143,11.6,1114,75.1,7619,13.4,819,20,1,0.19,3.3,21,1.6,12.2,10,F,75.39822369,73.47,0.974426139,49.63716393,42.66,0.859436693,597,265,9.78,4.69
11,F,F6,East,NA,NA,35,15,grass,0.25,NA,140,NA,60,NA,70,30,88,96,98.5,74,NA,NA,NA,NA,7.8,3.9,9,1,103,9.1,820,75.4,8341,15.4,1034,24,1.1,0.2,4.2,33.6,1.7,11.4,11,F,61.57521601,64.39,1.045712937,75.39822369,61.05,0.809700773,157,81,NA,249.07
12,F,F6,West,NA,NA,18,11,LQ,0.25,NA,72,NA,44,NA,62.06896552,37.93103448,107,104,113,98,NA,NA,NA,NA,7.7,5,14,2,190,10.8,1044,75.4,8382,13.8,930,21,1.2,0.16,3.7,20.4,1.9,12.4,12,F,75.39822369,69.15,0.91713036,58.43362336,55.95,0.957496674,158,51,NA,133.64
13,F,F7,East,5,9,12,10,grass,0.25,0.555555556,48,20,40,18.51851852,44.44444444,37.03703704,93,100.5,101,86.5,13,13.5,11,11.5,7.8,4.6,14,1,117,12.5,1203,70.4,8792,17.1,1293,25,1.2,0.2,3.5,33,1.6,12.2,13,F,68.17256058,63.02,0.924418849,64.08849013,59.83,0.933552965,165,68,0.45,146.26
14,F,F7,West,0,9,16,3,mix,0.25,0,64,0,12,0,84.21052632,15.78947368,107,101,76,102,NA,NA,NA,NA,7.8,4.2,11,1,123,11.7,1078,75.1,8069,13.3,863,21,1,0.2,4.5,20.4,1.6,11.8,14,F,71.31415324,61.38,0.860698714,47.1238898,43.69,0.927130595,196,95,0.38,37.98
15,F,F8,East,100,100,23,5,grass,0.25,1,92,400,20,78.125,17.96875,3.90625,117.5,113.5,92,104,4,7,9,4,7.8,4.1,11,1,107,13.7,1262,70.5,8784,15.8,1191,23,1.1,0.2,4.3,31.7,1.6,11.7,15,F,75.39822369,71.1,0.942993038,51.83627878,43.13,0.832042751,113,33,4,815.96
16,F,F8,West,25,100,6,24,grass,0.25,0.25,24,100,96,45.45454545,10.90909091,43.63636364,92,86.5,77,74,7,8,4,4.5,7.7,5.2,17,1,205,15.7,1554,70.9,8190,13.4,942,28,1.2,0.2,4.3,19.2,1.9,12.6,16,F,60.31857895,58.61,0.971674085,65.65928646,61.58,0.937871904,390,144,3.77,51.07
17,F,F9,East,NA,NA,10,10,grass,0.25,NA,40,NA,40,NA,50,50,86,109,89.5,97.5,NA,NA,NA,NA,7.8,5,12,1,164,14.2,1407,70.1,8653,15.7,1176,32,1.2,0.2,3.7,32.8,1.8,12.7,17,F,75.39822369,68.73,0.911559937,69.11503838,61.61,0.891412368,263,151,NA,58.21
18,F,F9,West,NA,NA,22,14,Pigweed,0.25,NA,88,NA,56,NA,61.11111111,38.88888889,84,90,101,89,NA,NA,NA,NA,7.8,4.7,10,1,237,16.2,1575,71,7746,12.8,841,25,1.2,0.2,4,17.9,1.8,12.3,18,F,46.18141201,49.9,1.080521314,52.77875658,52.97,1.003623492,100,59,NA,337.08
19,F,F10,East,32,100,15,5,pigweed,0.25,0.32,60,128,20,61.53846154,28.84615385,9.615384615,93,105,103.5,96,2.5,6,9,5,7.9,3.8,8,1,86,10.1,913,74.1,8518,15.8,1101,19,1,0.19,3.8,30.7,1.4,11.6,19,F,73.51326809,69.03,0.939014164,61.88937528,57.99,0.936994432,101,38,11.41,196.19
20,F,F10,West,100,100,9,4,grass,0.25,1,36,400,16,88.49557522,7.96460177,3.539823009,89,110,116.5,50,10,4,8.5,3.5,7.7,4.2,19,22,187,21.5,1937,67,7836,11.6,819,31,1.1,0.19,3.7,18.7,1.5,11.5,20,F,63.77433087,66.24,1.038662407,48.69468613,39.11,0.803167719,44,38,NA,NA
21,H,H1,East,NA,NA,5,11,horsetail,0.25,NA,20,NA,44,NA,31.25,68.75,87,68,67,75,NA,NA,NA,NA,7.7,4.8,11,1,103,9.4,903,76.6,8048,14,893,26,1,0.19,4.8,32.9,1.6,12.2,21,H,75.39822369,77.24,1.024427317,62.83185307,63.97,1.018114171,328,203,NA,11.71
22,H,H1,West,NA,NA,14,5,dandelion,0.25,NA,56,NA,20,NA,73.68421053,26.31578947,98,89,100,86,NA,NA,NA,NA,7.7,5.1,14,1,223,13.6,1336,72.4,7327,14,860,26,1.1,0.14,4.5,14.9,1.4,12.5,22,H,43.35397862,42.82,0.987683285,44.61061568,44.37,0.994606313,157,92,NA,12.16
23,H,H2,East,0,9,13,6,pigweed,0.25,0,52,0,24,0,68.42105263,31.57894737,96.5,98.5,81,97,NA,NA,NA,NA,7.7,4.8,16,1,158,9.7,926,75.7,8076,14.6,945,26,1.1,0.14,3.7,27.6,1.7,12.2,23,H,61.88937528,61.62,0.995647471,65.34512719,67.07,1.026396349,332,131,,45.95
24,H,H2,West,1,9,15,7,dandelion,0.25,0.111111111,60,4,28,4.347826087,65.2173913,30.43478261,105.5,99.5,91.5,105,2,NA,NA,NA,7.7,3.6,11,1,149,11.8,1000,76,8286,12.2,806,19,1,0.15,3.6,17.9,1.5,11.8,24,H,63.14601234,68.68,1.087637959,50.89380099,52.38,1.029201965,450,210,,38.72
25,H,H3,East,NA,NA,25,7,dandelion,0.25,NA,100,NA,28,NA,78.125,21.875,107,101,93,91,NA,NA,NA,NA,7.8,4.3,15,1,171,13.1,1221,72.4,7851,14.5,951,33,1,0.19,3.7,29.7,1.6,11.9,25,H,75.39822369,79.09,1.048963704,40.52654523,42.95,1.059799195,486,171,NA,32.26
26,H,H3,West,NA,NA,27,8,mix,0.25,NA,108,NA,32,NA,77.14285714,22.85714286,99,109,103,104,NA,NA,NA,NA,7.7,4.4,15,1,245,17.1,1570,68.6,7527,14.3,955,27,1.1,0.19,3.5,19,1.6,11.7,26,H,71.31415324,71.95,1.008916137,42.09734156,43.66,1.037120122,399,186,NA,41.88
27,H,H4,East,100,100,8,14,aster,0.25,1,32,400,56,81.96721311,6.557377049,11.47540984,101.5,86.5,96,81,16.5,14,11.5,16,7.7,4.1,18,1,149,11,986,74.8,8095,14.1,929,25,1,0.19,3.8,33.6,1.7,11.4,27,H,75.39822369,77.75,1.031191402,32.98672286,30.29,0.918248234,177,78,5.86,148.18
28,H,H4,West,100,100,8,13,grass,0.25,1,32,400,52,82.6446281,6.611570248,10.74380165,91,85.5,95,87.5,15,15.5,15.5,2,7.7,6.9,23,1,313,14.9,1672,71,7990,14.2,968,26,1.2,0.2,4.7,23,1.9,14.4,28,H,56.54866776,53.3,0.942550941,43.98229715,42.21,0.959704307,442,194,2.41,71
29,H,H5,East,6,6,5,3,mix,0.25,1,20,24,12,42.85714286,35.71428571,21.42857143,70,62,59,54,17,16.5,12,15.5,7.8,4.3,16,1,204,15.5,1446,71.9,8455,12.6,901,22,1.1,0.2,4,31.8,1.8,11.9,29,H,75.39822369,71.41,0.947104541,53.40707511,49.73,0.931150038,118,49,19.85,159.67
30,H,H5,West,6,6,8,12,pigweed,0.25,1,32,24,48,23.07692308,30.76923077,46.15384615,91.5,104,99.5,73,41,18,39,33,7.6,4.6,23,1,179,10.9,1000,75.5,8263,13.6,899,25,1.1,0.15,3.9,20.3,1.8,11.7,30,H,68.17256058,70.39,1.032526861,51.83627878,49.51,0.955122574,297,159,9.55,97.66
31,H,H6,East,6,6,24,6,dandelion,0.25,1,96,24,24,16.66666667,66.66666667,16.66666667,102,111,91.5,99.5,46,25,18,14,7.7,3.1,16,1,142,9.4,760,77.2,7819,13.4,824,21,0.9,0.23,4,31.9,1.9,10.3,31,H,75.39822369,77.46,1.027345158,40.52654523,41.42,1.022046162,249,97,14.82,82.98
32,H,H6,West,5,6,24,6,pigweed,0.25,0.833333333,96,20,24,14.28571429,68.57142857,17.14285714,85,100,88,103,40,28,18,28,7.6,5.4,14,1,284,8.3,819,76,7752,15.7,971,28,1.1,0.14,3.7,21.9,2,12.6,32,H,63.77433087,62.72,0.983467786,42.09734156,41.64,0.989136094,347,114,8.21,146.8
33,H,H7,East,NA,NA,17,8,LQ,0.25,NA,68,NA,32,NA,68,32,73,105,94.5,81,NA,NA,NA,NA,7.7,4.3,10,2,94,9.3,853,78.3,9137,12.3,873,21,0.9,0.2,6.2,44.8,1.6,11.6,33,H,57.1769863,60.89,1.064938954,75.39822369,78.21,1.037292342,96,36,NA,NA
34,H,H7,West,NA,NA,9,14,Pigweed,0.25,NA,36,NA,56,NA,39.13043478,60.86956522,62,74,73,69.5,NA,NA,NA,NA,7.7,4.2,11,1,190,13.3,1202,73.3,7345,13.4,816,29,1,0.18,3.3,23.2,1.7,11.5,34,H,56.2345085,62.44,1.11035024,68.48671985,71.75,1.047648364,349,111,NA,97.91
35,H,H8,East,100,100,10,10,grass,0.25,1,40,400,40,83.33333333,8.333333333,8.333333333,95,83,76,90,15,16.5,8,6,7.8,3.7,11,1,119,8.2,718,78.8,8255,13,827,23,0.9,0.18,4.2,39.5,1.9,11.2,35,H,70.99999397,72.4,1.019718396,70.99999397,71.4,1.005633888,171,56,1.32,128.32
36,H,H8,West,100,100,7,11,LQ,0.25,1,28,400,44,84.74576271,5.93220339,9.322033898,95,103,94,97,17,13,7,15,7.7,2.7,8,2,91,6.4,502,81.6,7562,12,676,16,0.8,0.14,3.3,23.7,1.3,10,36,H,75.39822369,77.16,1.023366284,50.26548246,55.97,1.113487771,159,47,6.25,62.12
37,H,H9,West,1,9,10,5,dandelion,0.25,0.111111111,40,4,20,6.25,62.5,31.25,90,74,76,92,3,NA,NA,NA,7.7,2.6,9,1,98,7.5,579,79.9,7537,12.6,722,16,0.8,0.18,3.5,25.7,1.4,9.8,37,H,69.74335691,74.48,1.06791533,43.98229715,45.29,1.029732482,109,56,NA,181.16
38,H,H9,East,2,9,3,16,pigweed,0.25,0.222222222,12,8,64,9.523809524,14.28571429,76.19047619,64,61,73,NA,17,9,NA,NA,7.9,3.8,12,1,128,11.3,1029,76.6,8206,12,779,27,1,0.22,4.1,44.9,2,11.6,38,H,75.39822369,79.27,1.051351028,57.1769863,58.91,1.030309637,284,148,NA,80.65
39,H,H10,East,NA,NA,6,10,dandelion,0.25,NA,24,NA,40,NA,37.5,62.5,41,73,80,73.5,NA,NA,NA,NA,7.9,2.1,8,1,77,8,612,81.5,8293,10.5,647,23,0.8,0.22,5.5,56.2,2.3,9.8,39,H,44.92477495,51.02,1.135676251,75.39822369,80.41,1.066470748,NA,9,NA,258.36
40,H,H10,West,NA,NA,6,10,grass,0.25,NA,24,NA,40,NA,37.5,62.5,92,84.5,92.5,67,NA,NA,NA,NA,7.8,2.3,7,1,64,5.4,416,82.1,7602,12.5,701,11,0.7,0.17,3.9,35.2,3.3,9.7,40,H,75.39822369,84.66,1.122838124,70.05751618,73.04,1.042571932,362,103,NA,24.97
